                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1689,                0.84743,                 1.2156,                  0.943,                0.85742,                0.93724,                0.74434,                0.76664,                0.47366,                0.97197,               0.006634,               0.006634,               0.006634
                     37,                 1.1616,                0.84401,                 1.2135,                0.94109,                0.86015,                0.93772,                0.74451,                0.76619,                0.47299,                 0.9715,               0.006535,               0.006535,               0.006535
                     38,                 1.1592,                0.83966,                 1.2089,                0.94168,                0.86003,                  0.938,                0.74467,                0.76599,                0.47182,                0.97135,               0.006436,               0.006436,               0.006436
                     39,                 1.1545,                0.83633,                 1.2089,                0.94188,                 0.8599,                0.93832,                0.74491,                0.76527,                0.47104,                0.97082,               0.006337,               0.006337,               0.006337
                     40,                 1.1522,                0.83652,                 1.2069,                0.94157,                0.86059,                0.93847,                0.74526,                0.76474,                 0.4701,                0.97048,               0.006238,               0.006238,               0.006238
                     41,                 1.1487,                0.82744,                  1.201,                0.94178,                0.86051,                0.93855,                0.74591,                 0.7643,                0.46931,                 0.9701,               0.006139,               0.006139,               0.006139
                     42,                 1.1503,                 0.8282,                 1.2002,                0.94182,                0.86063,                0.93872,                0.74625,                0.76406,                0.46836,                0.96981,                0.00604,                0.00604,                0.00604
                     43,                 1.1455,                0.82401,                 1.2001,                0.94239,                0.86035,                0.93834,                0.74621,                 0.7636,                0.46758,                0.96941,               0.005941,               0.005941,               0.005941
                     44,                 1.1421,                0.82332,                 1.1966,                0.94246,                0.86042,                0.93859,                0.74644,                 0.7629,                0.46662,                0.96891,               0.005842,               0.005842,               0.005842
                     45,                 1.1416,                0.81789,                 1.1961,                0.94201,                 0.8611,                 0.9386,                0.74701,                0.76238,                0.46597,                 0.9685,               0.005743,               0.005743,               0.005743
                     46,                 1.1434,                0.81974,                 1.1979,                0.94284,                0.86167,                0.93889,                0.74743,                0.76219,                0.46511,                0.96822,               0.005644,               0.005644,               0.005644
                     47,                  1.139,                0.81824,                  1.196,                0.94189,                0.86308,                0.93918,                 0.7476,                 0.7616,                0.46408,                0.96776,               0.005545,               0.005545,               0.005545
                     48,                 1.1337,                0.81463,                 1.1947,                0.94283,                 0.8622,                 0.9395,                0.74785,                0.76123,                0.46339,                0.96749,               0.005446,               0.005446,               0.005446
                     49,                 1.1359,                0.81494,                 1.1965,                0.94452,                0.86146,                0.93946,                 0.7485,                0.76109,                0.46228,                 0.9674,               0.005347,               0.005347,               0.005347
                     50,                  1.137,                0.81361,                  1.193,                0.94536,                0.86016,                0.93988,                0.74875,                0.76066,                0.46143,                 0.9671,               0.005248,               0.005248,               0.005248
                     51,                 1.1318,                0.80945,                 1.1934,                 0.9456,                0.86057,                0.93981,                0.74877,                0.76041,                0.46066,                0.96699,               0.005149,               0.005149,               0.005149
                     52,                 1.1299,                0.80708,                 1.1903,                0.94536,                0.86022,                0.93973,                0.74899,                0.76007,                0.46017,                0.96665,                0.00505,                0.00505,                0.00505
                     53,                 1.1284,                0.80534,                 1.1886,                0.94608,                0.86049,                0.94011,                0.74939,                0.75974,                0.45942,                0.96634,               0.004951,               0.004951,               0.004951
                     54,                 1.1236,                0.79964,                  1.186,                0.94551,                0.86139,                0.94028,                0.74938,                0.75948,                0.45857,                0.96598,               0.004852,               0.004852,               0.004852
                     55,                 1.1227,                0.80258,                  1.184,                0.94669,                 0.8611,                0.94037,                0.74963,                0.75919,                0.45757,                0.96575,               0.004753,               0.004753,               0.004753
                     56,                 1.1149,                0.79688,                 1.1846,                0.94656,                0.86119,                0.94011,                0.74943,                0.75875,                0.45684,                 0.9655,               0.004654,               0.004654,               0.004654
                     57,                 1.1193,                0.79737,                 1.1821,                 0.9495,                0.86015,                0.94057,                0.74991,                0.75794,                0.45639,                0.96489,               0.004555,               0.004555,               0.004555
                     58,                 1.1149,                 0.7929,                 1.1825,                0.94983,                0.85974,                0.94081,                0.75008,                0.75749,                0.45576,                0.96448,               0.004456,               0.004456,               0.004456
                     59,                 1.1143,                0.79154,                  1.183,                0.94862,                0.86111,                0.94094,                0.75017,                0.75717,                0.45501,                0.96411,               0.004357,               0.004357,               0.004357
                     60,                   1.11,                0.78697,                   1.18,                 0.9507,                0.85994,                0.94102,                0.75038,                0.75703,                0.45422,                0.96389,               0.004258,               0.004258,               0.004258
                     61,                  1.107,                0.78577,                 1.1756,                0.95007,                0.86015,                0.94089,                0.75089,                0.75653,                0.45346,                0.96331,               0.004159,               0.004159,               0.004159
                     62,                 1.1016,                0.77622,                 1.1728,                0.94961,                0.86124,                0.94104,                0.75117,                0.75626,                0.45246,                0.96299,                0.00406,                0.00406,                0.00406
                     63,                 1.1061,                0.78116,                 1.1748,                0.94977,                0.86118,                0.94137,                0.75149,                0.75582,                 0.4517,                0.96258,               0.003961,               0.003961,               0.003961
                     64,                 1.0995,                0.77464,                 1.1703,                0.95172,                0.86022,                0.94156,                0.75181,                0.75537,                0.45092,                0.96219,               0.003862,               0.003862,               0.003862
                     65,                 1.0967,                0.77313,                 1.1688,                0.95101,                0.86063,                0.94141,                0.75197,                0.75499,                0.45029,                0.96172,               0.003763,               0.003763,               0.003763
                     66,                 1.0908,                0.76749,                 1.1647,                0.95139,                0.86064,                0.94158,                 0.7523,                0.75456,                0.44937,                0.96131,               0.003664,               0.003664,               0.003664
                     67,                 1.0974,                0.76911,                 1.1705,                0.95082,                 0.8611,                 0.9416,                0.75251,                0.75405,                0.44875,                0.96086,               0.003565,               0.003565,               0.003565
                     68,                 1.0913,                0.76465,                 1.1627,                0.95037,                0.86174,                0.94183,                0.75271,                0.75362,                0.44811,                0.96046,               0.003466,               0.003466,               0.003466
                     69,                   1.09,                0.76367,                 1.1623,                0.94979,                0.86261,                0.94196,                0.75294,                0.75297,                0.44719,                0.95998,               0.003367,               0.003367,               0.003367
                     70,                 1.0875,                0.76008,                  1.164,                0.95031,                0.86197,                0.94196,                0.75299,                0.75258,                0.44661,                0.95963,               0.003268,               0.003268,               0.003268
                     71,                 1.0871,                0.76214,                 1.1632,                0.95035,                0.86247,                0.94203,                0.75336,                0.75218,                0.44612,                0.95934,               0.003169,               0.003169,               0.003169
                     72,                  1.084,                 0.7548,                 1.1619,                0.95038,                0.86314,                0.94222,                0.75358,                 0.7517,                0.44544,                 0.9589,                0.00307,                0.00307,                0.00307
                     73,                 1.0831,                0.75427,                 1.1577,                  0.948,                0.86438,                0.94255,                0.75373,                0.75115,                0.44482,                0.95847,               0.002971,               0.002971,               0.002971
                     74,                 1.0757,                0.75261,                 1.1604,                0.94736,                0.86511,                0.94228,                0.75384,                0.75083,                0.44424,                0.95821,               0.002872,               0.002872,               0.002872
                     75,                 1.0802,                 0.7496,                 1.1583,                0.94802,                 0.8652,                0.94271,                0.75379,                0.75048,                0.44371,                0.95794,               0.002773,               0.002773,               0.002773
                     76,                 1.0724,                0.74386,                   1.15,                0.94774,                 0.8656,                0.94265,                0.75445,                0.75013,                0.44285,                0.95721,               0.002674,               0.002674,               0.002674
                     77,                 1.0688,                0.74416,                 1.1511,                 0.9467,                0.86603,                0.94266,                0.75429,                0.74972,                 0.4423,                0.95662,               0.002575,               0.002575,               0.002575
                     78,                 1.0703,                 0.7418,                 1.1493,                0.94605,                0.86701,                0.94292,                0.75488,                0.74942,                0.44192,                0.95623,               0.002476,               0.002476,               0.002476
                     79,                 1.0701,                0.74279,                 1.1521,                0.94728,                0.86657,                0.94294,                0.75506,                0.74932,                0.44122,                0.95609,               0.002377,               0.002377,               0.002377
                     80,                 1.0596,                0.73329,                 1.1458,                0.94757,                0.86633,                0.94303,                0.75506,                0.74912,                0.44071,                0.95574,               0.002278,               0.002278,               0.002278
                     81,                 1.0581,                0.72763,                 1.1389,                0.94819,                0.86599,                0.94311,                0.75534,                0.74883,                0.44004,                 0.9552,               0.002179,               0.002179,               0.002179
                     82,                 1.0586,                0.73076,                 1.1445,                0.94907,                0.86595,                 0.9431,                0.75557,                0.74856,                0.43954,                 0.9549,                0.00208,                0.00208,                0.00208
                     83,                 1.0566,                0.72938,                 1.1462,                0.94814,                0.86649,                0.94314,                0.75548,                0.74829,                 0.4392,                0.95462,               0.001981,               0.001981,               0.001981
                     84,                 1.0571,                0.72762,                 1.1459,                0.94897,                0.86595,                0.94319,                0.75596,                0.74804,                0.43877,                0.95449,               0.001882,               0.001882,               0.001882
                     85,                 1.0492,                0.72213,                 1.1395,                0.94757,                0.86769,                0.94334,                 0.7563,                0.74784,                 0.4382,                0.95429,               0.001783,               0.001783,               0.001783
                     86,                 1.0475,                0.71922,                 1.1392,                0.94808,                0.86732,                0.94356,                 0.7566,                 0.7475,                0.43743,                0.95398,               0.001684,               0.001684,               0.001684
                     87,                 1.0466,                0.71778,                 1.1402,                0.94729,                0.86889,                 0.9437,                 0.7564,                 0.7471,                0.43703,                0.95365,               0.001585,               0.001585,               0.001585
                     88,                 1.0406,                0.71143,                 1.1373,                0.94736,                0.86889,                0.94363,                0.75684,                0.74692,                0.43682,                0.95346,               0.001486,               0.001486,               0.001486
