                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0804,                0.73365,                 1.1704,                0.94251,                0.89013,                0.95353,                0.77042,                0.72992,                0.41689,                0.95709,               0.006634,               0.006634,               0.006634
                     37,                 1.0748,                0.72942,                  1.171,                0.94449,                0.88884,                0.95362,                0.77072,                0.72947,                0.41573,                0.95682,               0.006535,               0.006535,               0.006535
                     38,                  1.071,                0.72282,                 1.1632,                0.94578,                0.88794,                0.95367,                0.77109,                 0.7288,                 0.4149,                0.95625,               0.006436,               0.006436,               0.006436
                     39,                 1.0673,                 0.7208,                 1.1622,                0.94713,                 0.8876,                0.95397,                0.77129,                0.72824,                0.41428,                0.95582,               0.006337,               0.006337,               0.006337
                     40,                 1.0631,                0.72073,                 1.1646,                0.94718,                0.88821,                0.95399,                 0.7711,                0.72762,                0.41382,                 0.9555,               0.006238,               0.006238,               0.006238
                     41,                 1.0599,                0.71229,                 1.1611,                0.94903,                0.88657,                0.95409,                0.77137,                0.72704,                0.41347,                0.95516,               0.006139,               0.006139,               0.006139
                     42,                 1.0598,                0.71262,                 1.1592,                0.94988,                0.88644,                 0.9542,                0.77177,                0.72691,                0.41275,                0.95502,                0.00604,                0.00604,                0.00604
                     43,                 1.0539,                0.70806,                 1.1565,                0.94887,                0.88733,                0.95418,                0.77165,                0.72659,                0.41212,                0.95485,               0.005941,               0.005941,               0.005941
                     44,                 1.0529,                0.70806,                 1.1594,                0.94879,                0.88712,                0.95428,                0.77204,                0.72655,                0.41121,                0.95491,               0.005842,               0.005842,               0.005842
                     45,                 1.0524,                0.70188,                 1.1524,                0.94826,                0.88794,                0.95427,                0.77207,                 0.7266,                0.41088,                 0.9548,               0.005743,               0.005743,               0.005743
